sale,normalSale,store
30,11,316
89,11.5,316
14,11.5,317
31,8.5,317
23,11.5,317
16,5.8,318
9,7,318
79,30.8,319
40,24.67,319
160,60,320
91,68,320
109,29.2,321
72,32.33,321
315,44.6,322
154,45.33,322
203,50.6,323
166,52,323
249,59.4,324
44,68.33,324
148,39,325
72,38,325
86,31,326
76,36.67,326
304,32.8,327
62,36,327
15,1.4,328
8,1,328
73,17.2,329
49,17.67,329
273,50.6,330
47,53.33,330
48,43.2,331
46,46.33,331
524,57.25,332
522,54,332
181,23,333
7,22,333
203,65.8,334
83,57.67,334
185,46.4,335
59,41.67,335
49,24.8,336
358,82,337
201,85.33,337
166,15,338
70,18.67,338
251,48.8,339
90,50.33,339
38,22.4,340
13,27,340
53,35.2,341
20,37.67,341
105,32,342
160,35.67,342
144,39.2,343
138,47.67,343
137,18,344
72,21,344
76,22.2,345
19,29,345
241,53.4,346
100,54.33,346
95,31.4,347
45,27.67,347
194,79.2,348
140,102,348
101,30,349
88,32,349
202,39.4,350
29,42.33,350
100,25,351
19,29,351
201,56.6,352
46,62,352
106,41.6,353
35,42.67,353
89,35.4,354
42,39.67,354
204,27.4,355
146,26.67,355
12,19.5,356
17,20.33,356
183,9.6,357
36,3,357
363,34.8,358
30,39,358
286,81.6,359
80,90.67,359
84,60.2,360
29,71,360
40,9.75,99
29,9,99
29,9.75,99
132,24.4,361
64,26,361
65,23,100
66,25.67,100
50,15.8,101
31,13.33,101
26,5.25,102
17,4,102
24,5.25,102
10,4.4,103
17,3.67,103
2,3,104
3,1.33,104
31,1.8,105
14,2,105
21,3.75,106
6,3.5,106
13,3.75,106
10,6.25,107
7,8,107
16,6.25,107
78,17.6,108
35,17.33,108
99,22,109
36,23.67,109
48,9.5,110
33,8,110
18,9.5,110
31,4,111
11,1.5,111
17,4,111
58,15.25,112
21,16,112
28,15.25,112
48,10.5,113
28,11.5,113
36,10.5,113
41,7.5,114
11,7,114
26,7.5,114
27,11.75,115
17,11,115
55,11.75,115
23,5.25,116
10,5.5,116
26,5.25,116
9,3.2,117
11,3.67,117
32,4.4,118
10,5.67,118
27,1.25,119
3,1.5,119
2,1.25,119
15,7.5,120
9,7.5,120
35,2.25,121
14,2,121
14,2.25,121
29,7.25,122
11,8.5,122
20,7.25,122
14,4.4,123
23,2.8,124
14,3.33,124
14,3,125
20,1.67,125
17,8,126
20,8.5,126
34,8,126
21,2.75,127
9,2.5,127
9,2.75,127
48,5.33,128
16,3.5,128
22,5.33,128
10,1.5,129
8,2.5,129
17,1.5,129
28,7,130
12,5.5,130
10,7,130
10,4,131
9,2.5,131
13,4,131
50,9,132
28,8,132
48,9,132
27,7.5,133
14,6.5,133
17,7.5,133
40,8.75,134
30,11,134
21,8.75,134
26,7.8,135
17,7.33,135
44,9.25,136
19,10.5,136
29,9.25,136
9,3,137
2,3.33,137
43,3.33,138
10,4,138
30,3.33,138
16,1.8,139
11,2.67,139
16,4.25,140
18,2.6,141
6,1.33,141
78,11,142
20,3.5,143
9,4.5,143
26,3.5,143
14,3.6,144
4,4,144
11,2.4,145
8,1.67,145
12,3.4,146
7,3.67,146
74,30.75,147
13,4,148
21,9,149
10,9,149
30,9,149
9,3,151
6,1.75,152
11,0.2,153
27,6.75,154
11,5.5,154
25,6.75,154
23,12.75,156
12,2.75,157
6,2.75,157
